K,Rem,frictionFactor
0.6,1830.1646531556387,6.763935189600926
0.6,1712.1594876602649,7.720804025515554
0.6,1590.201718434788,8.39701148141084
0.6,2802.3155836097385,4.717270375385632
0.6,2802.3155836097385,4.833128299466791
0.6,2319.4456917300545,6.926975428622587
0.6,1959.360818679245,6.588864396342619
0.6,1826.396843878395,6.774089226593471
0.6,1707.6460643226576,7.733490034170509
0.6,1585.3783513963888,8.413241415896987
0.6,2800.634282209019,4.718860980039846
0.6,2800.634282209019,4.836025663973466
0.6,2316.9793953247517,6.93314863130212
0.6,1956.2743660231768,6.596856652126682
0.6,1822.4957239905,6.784657551064525
0.6,1702.9736947142417,7.746683476998114
0.6,1580.392993695563,8.430125614742087
0.6,2798.900249094464,4.720503473625085
0.6,2798.900249094464,4.839031104143812
0.6,2314.4266385807846,6.939571404396308
0.6,1953.073438671482,6.605180545456471
0.6,1818.4504052944271,6.794854474889304
0.6,1698.3361472109054,7.76045249581137
0.6,1575.2234712045945,8.447768270391533
0.6,2797.095709073427,4.722214914448615
0.6,2797.095709073427,4.842153744702115
0.6,2311.78028587896,6.946232524965099
0.6,1949.7647722195773,6.613802393398329
0.6,1814.2791747670556,6.804962081128749
0.6,1693.672174468589,7.774714248316178
0.6,1569.904489858921,8.466039769348464
0.6,2795.238633648875,4.723978487453021
0.6,2795.238633648875,4.845376552868734
0.6,2309.0553824507183,6.953120726935622
0.6,1946.35508088876,6.622736521924075
0.6,1809.9770041964089,6.81544304561669
0.6,1688.8628987048985,7.789512081093004
0.6,1564.4234139112386,8.485031406643836
0.6,2793.3291153319024,4.725794308087778
0.6,2793.3291153319024,4.848708672468978
0.6,2306.2448015563077,6.9602373240659805
0.6,1942.844835546908,6.631985372600906
0.6,1805.5447227323664,6.826311790603075
0.6,1683.904448895312,7.804864599052007
0.6,1558.7771895818632,8.504724355767964
0.6,2791.3494195452104,4.727679485652823
0.6,2791.3494195452104,4.852150545850514
0.6,2303.348820202506,6.9676089931751
0.6,1939.2221019177769,6.640555174322567
0.6,1801.250907585902,6.837549585282185
0.6,1678.808157041441,7.820752378004856
0.6,1552.9768638611788,8.525141866862327
0.6,2789.317496063448,4.729617180169602
0.6,2789.317496063448,4.855702630882633
0.6,2300.367723349443,6.975211938869329
0.6,1935.499835281718,6.6493136591289295
0.6,1796.8645279379518,6.849171089465433
0.6,1673.5701988159024,7.837194474863276
0.6,1547.0194451327627,8.546265458171998
0.6,2787.2245425329047,4.731616028280742
0.6,2787.2245425329047,4.859374191374037
0.6,2297.294455787122,6.983073052997928
0.6,1931.6661698027815,6.6583656833594125
0.6,1792.3535322896828,6.861191252875327
0.6,1668.1868356538118,7.85422335801548
0.6,1540.8974098381434,8.568161744735638
0.6,2785.061783087549,4.733684699835238
0.6,2785.061783087549,4.8631569537932124
0.6,2294.1366837541395,6.991168539109721
0.6,1927.7340474407963,6.667702704943057
0.6,1787.724179888006,6.873591543633052
0.6,1662.6694016676795,7.871794248648948
0.6,1534.631102918239,8.590784679231522
0.6,2782.847143165229,4.735806326941018
0.6,2782.847143165229,4.867060242863193
0.6,2290.8873860758263,6.99955106274614
0.6,1923.679340359004,6.677359654954868
0.6,1782.9612948181143,6.88643238202814
0.6,1656.994282599516,7.890018385269008
0.6,1528.1854460306963,8.614259792829035
0.6,2780.4477175736065,4.740580991116686
0.6,2780.4477175736065,4.873700358465996
0.6,2287.642201136616,7.015096451774391
0.6,1919.4630648145248,6.688597111309645
0.6,1778.1426422774218,6.899131366397505
0.6,1651.1382153445904,7.910515147556418
0.6,1521.7253171970087,8.665291287187653
0.6,2778.1559273403045,4.741439247476349
0.6,2778.1559273403045,4.877381234912717
0.6,2284.0178116254883,7.018614281091794
0.6,1915.7095995939192,6.698954899025751
0.6,1773.047360550601,6.9121980863715295
0.6,1645.20690988746,7.944606157178999
0.6,1515.0068999707655,8.632081324440687
0.6,2775.7215939621497,4.744767790902983
0.6,2775.7215939621497,4.88236018063198
0.6,2280.618270906792,7.028508877295466
0.6,1911.488376760141,6.7090875865075015
0.6,1767.9735115144745,6.925779769039736
0.6,1639.142014469042,7.959740317879349
0.6,1508.2917403882816,8.679259617230707
0.6,2772.848647239476,4.747623244658544
0.6,2772.848647239476,4.886344290643746
0.6,2277.033406946487,7.035879392954647
0.6,1907.3598203787285,6.7197756934770085
0.6,1762.7604967584805,6.93992335934585
0.6,1632.940051796484,7.978530208164014
0.6,1501.473190607165,8.725474667200611
0.6,2770.3236608711613,4.750064898829747
0.6,2770.3236608711613,4.890807864490141
0.6,2273.375452570136,7.044396232658832
0.6,1903.1069081662592,6.730886723458408
0.6,1757.435000617795,6.954757918274551
0.6,1626.768335429406,7.999721835322505
0.6,1494.4901411024473,8.752892943424463
0.6,2767.738734653097,4.752569129547218
0.6,2767.738734653097,4.895386594718748
0.6,2269.6353174257324,7.053140524819227
0.6,1898.760104020571,6.742322876013016
0.6,1751.9871736175105,6.970026697147478
0.6,1620.4722827490334,8.021538498979385
0.6,1487.3686621098848,8.781154841747046
0.6,2765.09401714182,4.755136130834575
0.6,2765.09401714182,4.900090039079721
0.6,2265.806101773819,7.062113887719283
0.6,1894.3200238788752,6.754053896059544
0.6,1746.4338623500448,6.985723367787073
0.6,1614.0503911227547,8.044003072473872
0.6,1480.1062668502236,8.81027505957537
0.6,2762.3808261463337,4.757774701340799
0.6,2762.3808261463337,4.904918892154807
0.6,2261.888206154513,7.071341086259705
0.6,1889.7759470907847,6.76613850158044
0.6,1740.7498610987589,7.001911714942284
0.6,1607.4804416998318,8.067179986826199
0.6,1472.6875412828929,8.840344426395525
0.6,2759.608166086094,4.760476465549817
0.6,2759.608166086094,4.909545902690245
0.6,2258.035984484376,7.08078928213579
0.6,1885.1455714278443,6.778513017980069
0.6,1734.9677134680549,7.018480633936461
0.6,1600.8111960302638,8.090943351751203
0.6,1465.1579194134476,8.87121306915706
0.6,2756.8026510004584,4.763215776282747
