genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [0], [2, 0], [1, 3, 0], [2, 2, 0, 0], [0, 0, 1, 0, 1, 3], [1, 1, 1, 0, 0, 0, 1], [1, 0, 1]]",16040.039443584954,7,((Constant+Constant)**Constant)+Constant-x[1]+x[0]-x[1]/Constant,((0.7739513306821503+0.17912439373801048)**0.1367285151977492)+0.5271707973185737-x[1]+x[0]-x[1]/0.3732372374765628,16457.305718648397,{'errortest': 16021.791345864867},"[1, 1, 2, 3, 4, 6, 7, 3]"
"[[0], [0], [0, 1], [1, 1, 1, 0], [0, 1, 2, 2, 1, 0, 2, 2], [3, 3, 3, 1, 2, 3, 0, 0, 2, 1, 1], [0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 0, 0]]",19765.52903603491,7,(x[1]/Constant/(x[0]/Constant))-(x[0]*Constant)/(((x[0]+x[0])+x[0]*Constant)-Constant-Constant),(x[1]/0.22361988449409942/(x[0]/0.8654644091384661))-(x[0]*9.815862282147592e-05)/(((x[0]+x[0])+x[0]*0.004761128922936675)-0.11910465088664868-0.7688560646630013),19696.411490353843,{'errortest': 19888.618146312183},"[1, 1, 2, 4, 8, 11, 12, 6]"
"[[0], [0], [0, 0], [1, 2, 1, 0], [2, 1, 2, 0, 1, 1, 0], [2, 1, 3, 2, 3, 2, 1, 3, 3, 2, 2], [0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0], [1, 0, 0, 0, 0]]",63739.5896649728,7,(x[1]*(Constant-x[0]))/(Constant**Constant)*(Constant/Constant*(Constant-x[0]))/(Constant/x[0])*Constant*x[0],(x[1]*(0.3537439979685615-x[0]))/(0.11396168770000392**0.7648740801053635)*(0.8873056316960961/0.9076546788133733*(0.14566211167409548-x[0]))/(0.36790541844969915/x[0])*0.919282796079831*x[0],68776.94144811614,{'errortest': 62828.43897067327},"[1, 1, 2, 4, 7, 11, 12, 5]"
"[[0], [1], [3, 0], [1, 1], [0, 0, 0, 0], [2, 3, 2, 1, 2, 2, 1, 2], [0, 0, 1, 0, 0, 1, 1, 1, 0], [1, 0, 1, 0, 0]]",6808369.398783731,7,(x[1]*(x[0]/Constant*x[1]-x[0])*(Constant*Constant-Constant*x[0])),(x[1]*(x[0]/0.8967085238003814*x[1]-x[0])*(0.8608999702451094*0.8504343504307715-0.4765865199462428*x[0])),6461405.779339589,{'errortest': 6856112.985210562},"[1, 1, 2, 2, 4, 8, 9, 5]"
"[[0], [2], [1], [0, 1], [1, 0, 1, 2], [1, 2, 0, 1, 2, 0], [0, 0, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0]]",8921911.584491353,7,(((x[1]-x[0])*x[1]+x[0]-((x[0]*Constant)+Constant))**Constant),(((x[1]-x[0])*x[1]+x[0]-((x[0]*0.8995341896393262)+0.17882941573376931))**0.9349388562619716),8745907.062088285,{'errortest': 8844196.742979333},"[1, 1, 1, 2, 4, 6, 7, 5]"
"[[0], [2], [1], [3, 1], [2, 2], [2, 1], [0, 1, 1], [1]]",9999999.0,6,((x[1]*(Constant-Constant))**Constant),((x[1]*(0.32415200906197394-0.5657863145014735))**0.07006695938366114),9999999.0,{'errortest': 9999999},"[1, 1, 1, 2, 2, 2, 3, 1]"
"[[0], [1], [0, 1], [3, 0, 2, 2], [2, 1, 1, 2], [0, 2, 1, 1, 1, 0], [0, 1, 0, 1, 1, 0, 0], [0, 1, 0, 1]]",9999999.0,7,(x[0]+Constant*(x[1]-Constant)-(((Constant-x[0])**Constant)+(x[1]**Constant))),(x[0]+0.10344574068408363*(x[1]-0.7647842619509968)-(((0.6813185106292055-x[0])**0.37466970494521135)+(x[1]**0.3272838247025568))),9999999.0,{'errortest': 9999999},"[1, 1, 2, 4, 4, 6, 7, 4]"
"[[0], [2], [0], [3, 1], [0, 0], [0, 1, 3, 1], [1, 0, 0, 1, 1], [0, 1]]",9999999.0,7,(Constant+(x[0]-x[1]/Constant-Constant)**Constant),(0.555971676513881+(x[0]-x[1]/0.8686002555778841-0.08609668234043699)**0.41592994795685057),9999999.0,{'errortest': 9999999},"[1, 1, 1, 2, 2, 4, 5, 2]"
"[[0], [2], [1], [1, 2], [0, 1, 0], [0, 2, 3, 1, 2], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1]]",9999999.0,7,(((x[0]+x[0]*(x[0]/x[0]))-(Constant*x[1]**Constant))**Constant),(((x[0]+x[0]*(x[0]/x[0]))-(0.9170069813760873*x[1]**0.40428091825931445))**0.8322668312723581),9999999.0,{'errortest': 9999999},"[1, 1, 1, 2, 3, 5, 6, 5]"
"[[0], [1], [2, 0], [2, 2, 2], [1, 2, 0], [1, 0, 0, 1], [0, 1, 0, 1, 0], [0, 0, 0]]",9999999.0,7,((((x[0]-Constant)**Constant)**Constant)+(x[0]**Constant)+(Constant-x[0]**Constant)),((((x[0]-0.4300854141663627)**0.23866226080458175)**0.5772925116091603)+(x[0]**0.5605997975775122)+(0.4539091242571781-x[0]**0.07026802501044194)),9999999.0,{'errortest': 9999999},"[1, 1, 2, 3, 3, 4, 5, 3]"
"[[0], [2], [1], [0, 0], [2, 0, 1, 0], [0, 1, 3, 3, 2, 2], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1]]",9999999.0,7,((x[0]+x[0]-x[0]/(x[0]/x[1])*Constant*Constant)**Constant),((x[0]+x[0]-x[0]/(x[0]/x[1])*0.5231083542928937*0.9548772717276991)**0.4796438495216947),9999999.0,{'errortest': 9999999},"[1, 1, 1, 2, 4, 6, 7, 5]"
"[[0], [0], [1, 2], [1, 1, 3], [0, 2, 2, 1], [3, 2, 2, 0, 0, 2], [0, 0, 0, 0, 1, 0, 0], [0, 0, 1, 1, 1, 0]]",57386809.22364972,7,((x[0]/x[0]*x[1])*(x[1]+(Constant+x[1])))*(x[0]**Constant),((x[0]/x[0]*x[1])*(x[1]+(0.7298574539684308+x[1])))*(x[0]**0.5356987606413889),56418216.71860968,{'errortest': 56362126.468330085},"[1, 1, 2, 3, 4, 6, 7, 6]"
