genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [1], [2, 1], [3, 2, 2], [1, 2], [0, 0, 1], [0, 1, 0, 0], [1, 0, 0]]",4.838247265575622,7,((x[1]**Constant)+(((Constant+x[0])**Constant)-(x[0]**Constant))),((x[1]**0.2528365950085837)+(((0.2213823196671698+x[0])**0.7791159872226706)-(x[0]**0.7927361753381273))),5.003552894287631,{'errortest': 4.844140595494165},"[1, 1, 2, 3, 2, 3, 4, 3]"
"[[0], [0], [1, 3], [3, 3], [], [2, 1], [1, 1, 0], [0]]",4.932538378733789,5,(Constant*Constant)-x[0],(0.07683325548314879*0.0028470096956654256)-x[0],4.946441364639276,{'errortest': 5.087099986966441},"[1, 1, 2, 2, 0, 2, 3, 1]"
"[[0], [2], [0], [0, 2], [0, 2, 1], [2, 0, 0, 2], [1, 1, 0, 0, 0], [0, 1, 0]]",30.333992491984013,7,(Constant*Constant+x[0]+((x[1]*x[0])**Constant)**Constant),(0.583623588990904*0.8191365116362567+x[0]+((x[1]*x[0])**0.42573978932471424)**0.9886370457995164),31.489568478512176,{'errortest': 30.165001862130396},"[1, 1, 1, 2, 3, 4, 5, 3]"
"[[0], [1], [3, 2], [2], [2], [2], [0, 0], [0, 1]]",42.72032378847156,7,(x[0]*((x[1]**Constant)**Constant)),(x[0]*((x[1]**0.5874027725875252)**0.7775841727130429)),44.92800462721363,{'errortest': 42.378653457958926},"[1, 1, 2, 1, 1, 1, 2, 2]"
"[[0], [0], [3, 0], [2, 0], [2, 1, 0], [0, 2, 0, 0, 3], [1, 0, 1, 1, 1, 1], [1]]",425.9254987837183,7,Constant+(x[1]**Constant)*(Constant+Constant)+Constant/Constant,0.8412097467225184+(x[1]**0.7135410516886829)*(0.726672987135155+0.41630331407113574)+0.16794669528386197/0.9926239840447544,437.71267274070186,{'errortest': 425.52933788660454},"[1, 1, 2, 2, 3, 5, 6, 1]"
"[[0], [0], [3, 0], [3, 0], [1, 1], [2, 2, 0, 2, 1], [1, 0, 0, 0, 1, 0], [0, 1, 0, 0]]",459.50388435482483,7,Constant*x[0]*(x[1]+x[0])*(Constant-x[0]),0.1694199718127759*x[0]*(x[1]+x[0])*(0.6009677253529252-x[0]),490.54513715373383,{'errortest': 451.73341311261095},"[1, 1, 2, 2, 2, 5, 6, 4]"
"[[0], [1], [2, 0], [0, 1, 3], [0, 0, 0, 2], [3, 0, 0, 3, 0, 1, 2], [1, 0, 1, 0, 1, 1, 1, 0], [0, 1, 0]]",468.4742692785842,7,((Constant/x[0]+Constant+x[1]**Constant)/(Constant+Constant-Constant)*x[0]),((0.5302268934579136/x[0]+0.010072794051730227+x[1]**0.5580172815916506)/(0.645839325171123+0.563924121392892-0.9820975588413735)*x[0]),492.3530982813372,{'errortest': 464.76078320155773},"[1, 1, 2, 3, 4, 7, 8, 3]"
"[[0], [1], [1, 3], [2, 3], [0], [3, 2, 2], [1, 0, 1, 0], [0, 1]]",473.39226580068305,7,(((Constant/x[0]**Constant)*Constant)*x[1]),(((0.28690214641949474/x[0]**0.26277174411632753)*0.3763320148987629)*x[1]),481.7543988101926,{'errortest': 474.24992169593355},"[1, 1, 2, 2, 1, 3, 4, 2]"
"[[0], [0], [1, 1], [1, 2, 0, 0], [2, 1, 1, 0, 1, 2, 2], [3, 1, 1, 0, 0, 3, 2, 2, 2, 3], [0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0], [0, 0, 1, 1, 1]]",536.3451510604949,7,((x[0]/(Constant-Constant))-((x[0]+Constant)**Constant))+(Constant/Constant*(x[1]*Constant)*x[1]/x[1]),((x[0]/(0.9580297985819262-0.9595500277052055))-((x[0]+0.32914779977559805)**0.8909302065170598))+(0.04145230000703071/0.2398462042696069*(x[1]*0.26516437322277164)*x[1]/x[1]),547.7836706097905,{'errortest': 536.360980163549},"[1, 1, 2, 4, 7, 10, 11, 5]"
"[[0], [1], [3, 1], [3, 1], [2, 0], [2, 0, 3, 1], [1, 1, 0, 1, 0], [0, 1]]",590.9949518419749,7,(Constant*(Constant+(x[0]/Constant-x[1]))),(0.1351174231492489*(0.5302059973668326+(x[0]/0.10892016814657135-x[1]))),606.3134925464288,{'errortest': 590.4090239265946},"[1, 1, 2, 2, 2, 4, 5, 2]"
"[[0], [2], [2], [0], [0, 2], [1, 1], [0, 1, 1], [1]]",673.4848869572019,7,((x[1]-Constant-Constant**Constant)**Constant),((x[1]-0.9032281039070895-0.24260675450483293**0.20775230742898076)**0.7829923411741514),692.4106489073205,{'errortest': 672.8930884464926},"[1, 1, 1, 1, 2, 2, 3, 1]"
"[[0], [2], [3], [], [], [], [0], [1]]",734.6121077205512,5,(x[1]**Constant),(x[1]**0.793088971426693),755.2582650205763,{'errortest': 733.9693252779291},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [0], [2, 1], [0, 1, 0], [2, 0, 3, 2, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 1, 1]]",1265.0568104541676,7,((x[0]*x[1]**Constant)+((Constant/x[0])*x[1]+x[1])**Constant),((x[0]*x[1]**0.24346588465017904)+((0.8868426571732814/x[0])*x[1]+x[1])**0.7922237342592803),1283.9779121870968,{'errortest': 1269.0684927206198},"[1, 1, 1, 2, 3, 5, 6, 5]"
"[[0], [2], [3], [], [], [], [0], [1]]",1388.3209324530872,5,(x[1]**Constant),(x[1]**0.8672406890529142),1427.015985025406,{'errortest': 1387.0716661345025},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [0], [2, 2], [3, 0], [2, 0], [0, 3, 1], [0, 1, 1, 1], [1]]",1513.6207642296058,6,(x[1]**Constant)+(Constant/Constant-Constant**Constant),(x[1]**0.877316851094794)+(0.3335565455610765/0.6993594246404838-0.45860856868716826**0.2945134302863738),1555.6975896553017,{'errortest': 1512.243390431188},"[1, 1, 2, 2, 2, 3, 4, 1]"
"[[0], [2], [0], [0, 1], [1, 0, 2, 2], [2, 1, 1, 3, 3], [0, 1, 0, 1, 0, 1], [1, 0, 0]]",1525.5926552147198,7,((x[1]*Constant)-x[0]-Constant/(x[0]/Constant)**Constant),((x[1]*0.35096882519019346)-x[0]-0.7288633405876928/(x[0]/0.5411071924202022)**0.17989491215824693),1565.2964709063003,{'errortest': 1523.782146648974},"[1, 1, 1, 2, 4, 5, 6, 3]"
"[[0], [2], [2], [0], [1, 2], [2, 2], [0, 0, 0], [1, 0, 1]]",2380.4390659170313,7,(((x[1]*x[0])*x[1]**Constant)**Constant),(((x[1]*x[0])*x[1]**0.23977544102267812)**0.7465415145293066),2491.236842611812,{'errortest': 2359.5072217900124},"[1, 1, 1, 1, 2, 2, 3, 3]"
"[[0], [1], [3, 0], [0, 0], [2, 1, 0, 2], [0, 1, 3, 2, 3, 2], [1, 1, 1, 1, 0, 0, 1], [1, 0]]",2499.876479501778,7,(Constant+Constant-(Constant/Constant)*x[1]/x[0]*Constant),(0.412649110546784+0.5769899128653758-(0.7812114742693312/0.9005230007236183)*x[1]/x[0]*0.563627128229822),2491.218318572293,{'errortest': 2515.5650961329793},"[1, 1, 2, 2, 4, 6, 7, 2]"
