K,Rem,frictionFactor
1.2,1892.7926617199796,2.820523539117562
1.2,1911.5090964165584,3.331798583283893
1.2,2456.6043242901146,2.4386360250934245
1.2,2456.6043242901146,2.4335897928271017
1.2,2318.099671100209,2.7043659193241703
1.2,2189.5494393547574,2.735511773636991
1.2,2100.3200872946,2.7998974351258386
1.2,2047.2971914028496,2.683746963007884
1.2,2031.1288406218885,2.600231615952999
1.2,1971.145751456432,3.113061631951722
1.2,1888.3727245357595,2.824694056821306
1.2,1906.5253707867123,3.337160933622409
1.2,2455.3033212976447,2.4393609112203523
1.2,2455.3033212976447,2.434650311231209
1.2,2316.302226703302,2.705944623863904
1.2,2187.2783045724,2.7375345632523924
1.2,2097.564432087734,2.8024103040321933
1.2,2044.0417983393456,2.6865957955907454
1.2,2027.314603732746,2.603434101714464
1.2,1966.8576550046405,3.1174044241588037
1.2,1883.7266764258684,2.8290976905537035
1.2,1901.291203298774,3.3428382623127737
1.2,2453.948100349713,2.4401168235641726
1.2,2453.948100349713,2.4357641952768767
1.2,2314.4173332487,2.707603031975517
1.2,2184.897576510186,2.739654068467076
1.2,2094.6847679390035,2.8050390015484044
1.2,2040.6474117878172,2.6895721984783534
1.2,2023.3448379475049,2.60678137382482
1.2,1962.3955870802945,3.1219575901708025
1.2,1878.8800507975704,2.833721111191066
1.2,1895.826634923577,3.348797113879696
1.2,2452.53091288778,2.440908193038004
1.2,2452.53091288778,2.436927215872567
1.2,2312.45256271518,2.709336560871261
1.2,2182.4145425199326,2.741875672702748
1.2,2091.674862084072,2.807799376803478
1.2,2037.09510601232,2.6927013606731784
1.2,2019.1880596464944,2.6102981857067
1.2,1957.7292726406488,3.126739967039698
1.2,1873.816223414512,2.8385767462156424
1.2,1890.121321140962,3.355052639487177
1.2,2451.0440299758266,2.441739464791122
1.2,2451.0440299758266,2.438148269793816
1.2,2310.393339034775,2.711150374420733
1.2,2179.822546808249,2.744199864953821
1.2,2088.535210956118,2.810692193145928
1.2,2033.385610484744,2.6959745581252053
1.2,2014.8581825434069,2.6139811292384074
1.2,1952.866254777746,3.131753602084565
1.2,1868.5367524909525,2.843666907555833
1.2,1884.177192910796,3.3611848458095537
1.2,2449.511021253208,2.4425975807348053
1.2,2449.511021253208,2.439414379981942
1.2,2308.2620004154974,2.713044790772601
1.2,2177.121932423418,2.7466271580611488
1.2,2085.2663313877,2.813708070407554
1.2,2029.5326691760267,2.699397711907636
1.2,2010.349759839282,2.6178315717162115
1.2,1947.8078344017788,3.136989213489188
1.2,1863.0551969701849,2.848650415478072
1.2,1878.2253752423608,3.3672666492243426
1.2,2447.900703789347,2.4435001284347933
1.2,2447.900703789347,2.440738849003535
1.2,2306.0366262972952,2.715020142892348
1.2,2174.313056218897,2.7491630561901306
1.2,2081.862103231326,2.8168579874030515
1.2,2025.5240435618584,2.702967025512638
1.2,2005.67027569014,2.6218509487447466
1.2,1942.5553601995684,3.142357258732408
1.2,1857.4196492351568,2.853582205298669
1.2,1872.224910156054,3.3736227951040947
