K,Rem,cdrag
0.6,2819.6160207910016,2.037434096028752
0.6,2819.6160207910016,2.272949707783704
0.6,2344.7214484623487,2.2887764427424058
0.6,2023.1251927961343,2.3918702635018025
0.6,1866.8255784684252,2.266220010858867
0.6,1787.4641153718546,2.3257694622269107
0.6,1714.638824805089,2.316738522504345
0.6,1596.81042066147,2.304591222525808
0.6,1527.1135344784873,2.1791584472340504
0.6,1502.4947527436827,2.085029889725878
0.6,2818.6087409869588,2.037750638019892
0.6,2818.6087409869588,2.273686841483848
0.6,2343.203026382411,2.2899671179911056
0.6,2021.1628509835184,2.393586008978887
0.6,1864.4009111966773,2.268283318333986
0.6,1784.5316411455708,2.328351808932952
0.6,1711.1902826530209,2.31987152412042
0.6,1592.945478946775,2.308269755324224
0.6,1522.7970007499096,2.183175164217356
0.6,1497.6419977966482,2.089296191077371
0.6,2817.5478419600986,2.0380840932374515
0.6,2817.5478419600986,2.274464376905401
0.6,2341.603259895909,2.2912299198277117
0.6,2019.0861372177783,2.395410085429841
0.6,1861.83032345838,2.27047948540519
0.6,1781.4212040202356,2.3311008206253754
0.6,1707.5348809721102,2.3232000439451506
0.6,1588.8599694559591,2.3121815280560742
0.6,1518.2335322627391,2.187454231019199
0.6,1492.5065090703529,2.093845390076797
0.6,2816.424391038451,2.0384381296419405
0.6,2816.424391038451,2.2752905614085703
0.6,2339.907358845434,2.292569212447792
0.6,2016.8889222518428,2.397342991627609
0.6,1859.1143481534705,2.272805186495757
0.6,1778.13930934091,2.3340134649313358
0.6,1703.6792399986434,2.3267341806478536
0.6,1584.5452548594428,2.316328862592365
0.6,1513.425096759222,2.1919906517286227
0.6,1487.100393631588,2.0986772075595472
0.6,2815.2474368799963,2.0388091263016883
0.6,2815.2474368799963,2.276157350614811
0.6,2338.130434510333,2.293981151774255
0.6,2014.5779871361285,2.3993852573404078
0.6,1856.2535472705465,2.2752653238374605
0.6,1774.681121384249,2.337099429700787
0.6,1699.6136865836631,2.330471560822387
0.6,1580.0080462503377,2.320718456696848
0.6,1508.3689277853114,2.196795530726311
0.6,1481.4167677451455,2.103342630243195
0.6,2814.0080593585903,2.0392007567310344
0.6,2814.0080593585903,2.2770771005158896
0.6,2336.250274777732,2.2954742702082918
0.6,2012.140822833889,2.401541772514206
0.6,1853.2425887020088,2.2778648846385567
0.6,1771.041886209625,2.3403558485749074
0.6,1695.34497549448,2.3344226025035697
0.6,1575.23994969224,2.325365712599854
0.6,1503.0527790395545,2.201415422910284
0.6,1475.760580731181,2.1081465118107605
0.6,2812.7063311386705,2.03961050657761
0.6,2812.7063311386705,2.278035208575692
0.6,2334.2894576111216,2.2970349008750683
0.6,2009.5970936005965,2.40379922104674
0.6,1850.0998604240517,2.2805832724087143
0.6,1767.2508536017124,2.343769726811649
0.6,1690.8907008731894,2.338571310551778
0.6,1570.262940605436,2.330013647438934
0.6,1497.6604037244024,2.2061562323096777
0.6,1469.9381920598314,2.113199712437628
0.6,2811.3423284948394,2.0400409504246
0.6,2811.3423284948394,2.2790383587576386
0.6,2332.2407152861742,2.298669066627693
0.6,2006.940744295727,2.4061634437563493
0.6,1846.8200511890484,2.283438797647548
0.6,1763.2863210313635,2.3473568982103923
0.6,1686.2359629019654,2.3429251276797443
0.6,1565.073764566372,2.334555291713436
0.6,1492.253606226335,2.21113813299107
0.6,1463.8688857087757,2.1185077593519823
0.6,2809.9250991098825,2.0404910122193733
0.6,2809.9250991098825,2.2800932608395126
0.6,2330.096811074089,2.3003828337496697
0.6,2004.1657649136596,2.408644703632365
0.6,1843.392015625595,2.286429251786637
0.6,1759.1549533922753,2.35111203943255
0.6,1681.3930032494463,2.347138068710206
0.6,1559.9021187187907,2.339319760158258
0.6,1486.6238576073454,2.2163600316547893
0.6,1457.559958656714,2.124076432701012
0.6,2808.445750325496,2.0409592869185014
0.6,2808.445750325496,2.2811910016410706
0.6,2327.8654114469496,2.302169215745195
0.6,2001.27898721,2.4112287767758858
0.6,1839.8341406791385,2.289549681289801
0.6,1754.8634096561393,2.3550377072133317
0.6,1676.35789203593,2.351365522255838
0.6,1554.647936728371,2.344305122856375
0.6,1480.778009372028,2.2218372512901023
0.6,1451.0013050919629,2.129922736700636
0.6,2806.895409308448,2.041449467155735
0.6,2806.895409308448,2.282335825828957
0.6,2325.5393100762208,2.304032722974443
0.6,1998.2744502567828,2.413929445838001
0.6,1836.129467619877,2.292813651750216
0.6,1750.3959126977804,2.3589340956879847
0.6,1671.2703022706005,2.3557851716934874
0.6,1549.191523769406,2.349514095302071
0.6,1474.718499775201,2.227558763134518
0.6,1444.2135079555526,2.1360333856617006
0.6,2805.3010441952224,2.041955707848557
0.6,2805.3010441952224,2.2835246489150784
0.6,2323.13360092805,2.30597278039699
0.6,1995.1590030022328,2.4167405792888537
0.6,1832.29051106782,2.296211669446078
0.6,1745.7704347672932,2.362715072268466
0.6,1666.201023714738,2.360393657282324
0.6,1543.544175954759,2.354957986347073
0.6,1468.4390210981635,2.233545285469007
0.6,1437.1780640140769,2.1424240868122024
0.6,2803.644820794209,2.0424828151833587
0.6,2803.644820794209,2.284759243913106
0.6,2320.6410879184104,2.307988177312497
0.6,1991.9331049920563,2.419670799765892
0.6,1828.3063116597075,2.2997565650927165
0.6,1740.9713502327966,2.366655113949636
0.6,1660.9515297834862,2.36519587222791
0.6,1537.703275386065,2.360627920050681
0.6,1461.955443631058,2.2397829749365417
0.6,1429.9199486282232,2.1490937390897997
0.6,2801.917890337325,2.0430319452763115
0.6,2801.917890337325,2.286049639583412
0.6,2318.039795626722,2.310090257270608
0.6,1988.5781465371383,2.422720034850182
0.6,1824.1777095176296,2.303150718659264
0.6,1736.2245698366155,2.370761832507668
0.6,1655.5135090467925,2.3702085030092683
0.6,1531.652526098679,2.36655776453119
0.6,1455.2353754354751,2.246313504360152
0.6,1422.3996286250128,2.1560771410506496
0.6,2800.1382488290906,2.043598360079061
0.6,2800.1382488290906,2.287377920108022
0.6,2315.367046554188,2.312260167441348
0.6,1985.1264634739227,2.4258724364928628
0.6,1819.9288942015116,2.306528948428622
0.6,1731.44091542604,2.375015381622538
0.6,1649.918440728023,2.3754040921524795
0.6,1525.4309585480394,2.3727046659461424
0.6,1448.3342037994685,2.2530850082399323
0.6,1414.8331803628164,2.163324519046053
0.6,2798.2970497302567,2.044185766498938
0.6,2798.2970497302567,2.288756617676601
0.6,2312.6008831195013,2.314510890194737
0.6,1981.559478014196,2.429142084489481
0.6,1815.5431606537345,2.31003177101444
0.6,1726.508795263668,2.3794289652981613
0.6,1644.1530462341389,2.3808005917648902
0.6,1519.022323496588,2.37909539699102
0.6,1441.2284206538116,2.2601315701565743
0.6,1407.090747201417,2.170869737103874
0.6,2796.40333020702,2.04479053741826
0.6,2796.40333020702,2.2901776629982047
